DB00764	DB00950	0.5
DB00764	DB00557	0.5
DB00764	DB01075	0.333
DB00764	DB01234	0.1
DB00764	DB01234	0.111
DB00764	DB00443	0.25
DB00764	DB01222	0.167
DB00764	DB00950	0.5
DB00764	DB00972	0.5
DB00764	DB00588	0.667
DB00764	DB00620	0.667
DB00764	DB00443	0.667
DB00764	DB01013	0.333
DB00764	DB00688	0.167
DB00764	DB00860	0.286
DB00764	DB00471	0.5
DB00764	DB01003	0.333
DB00764	DB01234	0.125
DB00764	DB01234	0.125
DB00764	DB00563	0.083
DB00764	DB00768	0.5
DB00704	DB00334	0.5
DB00704	DB01142	1.0
DB00704	DB00472	0.333
DB00704	DB01242	0.5
DB00704	DB00704	1.0
DB00704	DB01242	0.5
DB00704	DB01142	1.0
DB00704	DB00472	0.333
DB00704	DB00334	1.0
DB04930	DB00431	1.0
DB04930	DB00772	1.0
DB00499	DB00014	1.0
DB00499	DB00014	0.5
DB00499	DB00665	1.0
DB00499	DB01128	1.0
DB00683	DB00916	0.167
DB00683	DB00683	1.0
DB00683	DB00683	1.0
DB00683	DB00916	0.167
DB00683	DB00916	0.167
DB00140	DB00140	0.333
DB00140	DB00140	0.5
DB00140	DB00181	1.0
DB00864	DB00982	0.111
DB00864	DB00860	0.071
DB00864	DB00959	0.167
DB00864	DB00959	0.154
DB00864	DB00864	0.625
DB00864	DB00860	0.071
DB00864	DB00596	0.111
DB00864	DB00936	0.111
DB00864	DB00531	0.029
DB00864	DB00860	0.071
DB00864	DB00688	0.222
DB00864	DB00993	0.154
DB00864	DB00223	0.111
DB00864	DB00993	0.125
DB00864	DB00563	0.083
DB00864	DB00091	0.263
DB00864	DB00860	0.071
DB00864	DB00443	0.091
DB00864	DB01611	0.091
DB00864	DB00459	0.1
DB00864	DB00860	0.071
DB00864	DB00545	0.125
DB00864	DB00860	0.071
DB00864	DB00635	0.086
DB00864	DB00860	0.111
DB00864	DB01013	0.167
DB00864	DB00443	0.067
DB00864	DB00688	0.182
DB00864	DB00877	0.125
DB00864	DB00959	0.167
DB00864	DB00959	0.167
DB00864	DB00959	0.167
DB00864	DB00959	0.167
DB00864	DB00337	0.125
DB00864	DB02300	0.111
DB00864	DB00860	0.071
DB00864	DB00531	0.033
DB00864	DB00563	0.118
DB00864	DB01122	0.125
DB00864	DB00799	0.125
DB00770	DB00806	1.0
DB00770	DB01166	0.5
DB00537	DB00199	0.174
DB00537	DB01060	0.053
DB00537	DB01190	0.111
DB00537	DB00207	0.077
DB00537	DB00485	0.071
DB00537	DB00199	0.174
DB00537	DB00685	0.071
DB00537	DB00254	0.147
DB00537	DB00487	0.067
DB00537	DB00487	0.067
DB00537	DB00467	0.071
DB00537	DB00978	0.071
DB00537	DB00229	0.071
DB00537	DB00689	0.071
DB00537	DB00199	0.174
DB00537	DB01053	0.071
DB00537	DB00417	0.056
DB00537	DB01413	0.067
DB00537	DB00467	0.071
DB00537	DB00713	0.133
DB00537	DB00218	0.133
DB00537	DB01060	0.053
DB00537	DB00537	1.0
DB00537	DB00254	0.147
DB00537	DB01361	0.071
DB00537	DB01332	0.067
DB00537	DB00438	0.294
DB00537	DB00254	0.147
DB00537	DB00578	0.071
DB00537	DB00578	0.071
DB00537	DB01112	0.133
DB00537	DB01147	0.071
DB00537	DB00833	0.071
DB00537	DB01140	0.067
DB00537	DB01000	0.071
DB00537	DB00415	0.1
DB00537	DB01330	0.071
DB00537	DB01208	0.059
DB00537	DB00207	0.077
DB00537	DB00229	0.071
DB00537	DB01329	0.067
DB00537	DB01328	0.071
DB00537	DB00493	0.167
DB00537	DB00446	0.2
DB00537	DB00199	0.174
DB00537	DB00456	0.071
DB00537	DB01327	0.118
DB00537	DB01147	0.071
DB00537	DB01326	0.071
DB00537	DB00512	0.143
DB00537	DB01045	0.045
DB00537	DB01059	0.067
DB00537	DB00254	0.147
DB00537	DB00254	0.147
DB00537	DB01044	0.063
DB00537	DB00199	0.174
DB00537	DB01017	0.095
DB00537	DB01137	0.111
DB00537	DB01165	0.188
DB00537	DB00446	0.2
DB00537	DB00438	0.294
DB00537	DB01212	0.273
DB00537	DB00512	0.143
DB00537	DB00713	0.133
DB00537	DB00607	0.067
DB00537	DB01112	0.133
DB00537	DB00567	0.067
DB00537	DB01333	0.071
DB00537	DB01190	0.111
DB00537	DB00319	0.067
DB00537	DB00493	0.167
DB00537	DB01112	0.133
DB00537	DB00535	0.067
DB00537	DB00274	0.071
DB00537	DB00274	0.071
DB00537	DB01415	0.067
DB00537	DB01112	0.133
DB00537	DB00689	0.071
DB00537	DB00199	0.174
DB00537	DB00199	0.174
DB00537	DB00199	0.174
DB00537	DB00319	0.067
DB00537	DB00607	0.067
DB00537	DB01211	0.059
DB00537	DB00578	0.071
DB00537	DB00417	0.056
DB00537	DB00218	0.133
DB00537	DB00978	0.071
DB00537	DB00685	0.071
DB00537	DB00430	0.067
DB00537	DB00578	0.071
DB00537	DB00978	0.071
DB00537	DB01147	0.071
DB00537	DB00207	0.077
DB00537	DB00578	0.071
